S.N.,Stock Name,Stock Symbol,Sector,Total Shares
292,Shree Investment Finance Co. Ltd.,SIFC,Finance,"9,586,750.00"
293,Shree Ram Sugar Mills Limited,SRS,Manufacturing And Processing,"3,045,990.00"
294,Shrijana Finance  (Bittaya Sanstha),SFFIL,Finance,"9,630,339.00"
295,Siddhartha Bank Limited,SBL,Commercial Banks,"125,244,269.00"
296,Siddhartha Equity Fund,SEF,Mutual Fund,"150,000,000.00"
297,Siddhartha Equity Orineted Scheme,SEOS,Mutual Fund,"100,000,000.00"
298,Siddhartha Insurance Ltd.,SIL,Non Life Insurance,"12,880,000.00"
299,Siddhartha Investment Growth Scheme - 2,SIGS2,Mutual Fund,"120,000,000.00"
300,Sindhu Bikash Bank Ltd,SINDU,Development Banks,"5,574,561.00"
301,Singati Hydro Energy Limited,SHEL,Hydro Power,"14,500,000.00"
302,Soaltee Hotel Limited,SHL,Hotels,"84,257,973.00"
303,Sparsha Laghubitta Bittiya Sanstha Limited,SPARS,Microfinance,"1,120,291.00"
304,Standard Chartered Bank Limited,SCB,Commercial Banks,"94,294,539.00"
305,Summit Laghubitta Bittiya Sanstha Limited,SMFDB,Microfinance,"4,940,000.00"
306,Sunrise Bank Limited,SRBL,Commercial Banks,"101,188,929.00"
307,Sunrise Bluechip Fund,SBCF,Mutual Fund,"125,000,000.00"
308,Sunrise First Mutual Fund,SFMF,Mutual Fund,"86,000,000.00"
309,Support Microfinance Bittiya Sanstha Ltd.,SMB,Microfinance,"858,000.00"
310,Surya Life Insurance Company Limited,SLICL,Life Insurance,"25,502,821.00"
311,Suryodaya Laghubitta Bittiya Sanstha Ltd.,SLBS,Microfinance,"2,976,516.00"
312,Suryodaya Womi Laghubitta Bittiya Sanstha Limited,SWMF,Microfinance,"7,919,848.00"
313,Swabalamban Laghubitta Bittiya Sanstha Limited,SWBBL,Microfinance,"11,221,700.00"
314,Swabhimaan Laghubitta Bittiya Sanstha Limited,SMFBS,Microfinance,"1,217,822.00"
315,Swadeshi Laghubitta Bittiya Sanstha Ltd.,SDESI,Microfinance,"2,760,000.00"
316,Swarojgar Laghu Bitta Bikas Bank Ltd.,SLBBL,Microfinance,"5,140,992.00"
317,Synergy Finance Ltd.,SYFL,Finance,"4,744,090.00"
318,Synergy Power Development Ltd.,SPDL,Hydro Power,"8,065,750.00"
319,Taragaon Regency Hotel Limited,TRH,Hotels,"18,866,540.00"
320,Terhathum Power Company Limited,TPC,Hydro Power,"4,000,000.00"
321,Tinau Mission Development Bank Limited,TMDBL,Development Banks,"19,219,148.00"
322,Unilever Nepal Limited,UNL,Manufacturing And Processing,"920,700.00"
323,Union Hydropower Limited,UNHPL,Hydro Power,"7,500,000.00"
324,Union Life Insurance Company Limited,ULI,Life Insurance,"21,500,000.00"
325,United Finance Ltd.,UFL,Finance,"10,408,347.00"
326,United IDI Mardi RB Hydropower Limited.,UMRH,Hydro Power,"4,200,000.00"
327,United Insurance Co. (Nepal) Ltd.,UIC,Non Life Insurance,"10,281,600.00"
328,United Modi Hydropower Ltd.,UMHL,Hydro Power,"11,500,000.00"
329,UNIVERSAL POWER COMPANY LTD,UPCL,Hydro Power,"21,003,500.00"
330,Unnati Sahakarya Laghubitta Bittiya Sanstha Limited,USLB,Microfinance,"2,290,207.00"
331,Upakar Laghubitta Bittiya Sanstha Limited,ULBSL,Microfinance,"656,250.00"
332,Upper Tamakoshi Hydropower Ltd,UPPER,Hydro Power,"105,900,000.00"
333,Vijaya laghubitta Bittiya Sanstha Ltd.,VLBS,Microfinance,"3,200,000.00"
334,Wean Nepal Laghubitta Bittiya Sanstha Limited,WNLB,Microfinance,"792,055.00"
335,Yak And Yeti Hotel Limited,YHL,Hotels,"2,209,208.00"
